4	-0.0	-0.00742	-0.0001	-0.0003
5	1.0	-0.01627	-0.00014	0.00063
6	1.4	-0.00153	-0.00017	0.00015
7	-0.6	0.01235	-0.0002	0.00018
8	-1.1	0.00308	-0.00022	0.00012
9	1.1	-0.01358	-0.00025	0.00018
10	1.5	-0.00249	-0.00026	6e-05
11	-0.7	0.01358	-0.00028	0.00012
12	-1.1	0.00247	-0.00029	6e-05
13	-0.2	-0.00559	-0.0003	6e-05
14	-0.3	0.00062	-0.00032	0.00012
15	0.5	-0.08562	-0.00033	0.00104
16	1.0	-0.00159	0.00032	-0.00207
17	-1.0	0.01235	0.00058	-0.00162
18	-1.6	0.0037	0.00109	-0.00311
19	-1.7	0.00062	0.00132	-0.00144
20	-2.0	0.00186	0.00177	-0.00278
21	1.1	-0.01913	0.00197	-0.00126
22	1.9	-0.00494	0.00231	-0.0021
23	-0.6	0.01546	0.00234	-0.00018
24	-0.3	-0.00186	0.00238	-0.00024
25	-0.9	0.05114	0.00234	0.00331
26	-2.0	0.00353	0.00246	-0.00037
27	-0.0	-0.01237	0.00248	-0.00012
28	-0.0	0.0	0.0025	-0.00012
29	-0.9	0.00559	0.00253	-0.00018
30	-0.2	-0.00432	0.00254	-6e-05
31	0.4	-0.0037	0.00256	-0.00018
32	0.7	-0.00185	0.00257	-6e-05
33	0.9	-0.00124	0.00259	-0.00012
34	0.1	0.00494	0.0026	-6e-05
35	-0.3	0.04616	0.00262	-0.00224
36	0.7	-0.00318	0.00263	-3e-05
37	1.0	-0.00185	0.00265	-0.00012
38	0.3	0.00432	0.00265	0.0
39	0.1	0.00124	0.00266	-6e-05
40	0.3	-0.00124	0.00267	-6e-05
41	1.1	-0.00494	0.00267	0.0
42	1.3	-0.00123	0.00268	-6e-05
43	0.1	0.0075	0.00269	-6e-05
44	0.4	-0.00185	0.00269	0.0
45	1.3	-0.0881	0.00234	0.03423
46	1.0	0.00096	0.00281	-0.00149
47	0.5	0.0031	0.00318	-0.00229
48	0.5	0.0	0.00376	-0.0036
49	-0.9	0.0087	0.00394	-0.00115
50	-2.5	0.00987	0.00406	-0.00072
51	-0.5	-0.01235	0.00433	-0.00168
52	0.6	-0.00678	0.00453	-0.0012
53	0.4	0.00124	0.00479	-0.00163
54	1.2	-0.00494	0.00484	-0.0003
55	1.3	-0.01142	0.00502	-0.02107
56	0.4	0.00286	0.0046	0.00133
57	-2.3	0.01668	0.00435	0.00156
58	11.9	-0.08766	0.00444	-0.00054
59	14.6	-0.01673	0.00474	-0.00187
60	15.1	-0.00309	0.00511	-0.00228
61	14.4	0.00432	0.00562	-0.00318
62	15.4	-0.00616	0.00594	-0.00197
63	14.9	0.00311	0.00631	-0.0023
64	14.0	0.00556	0.00528	0.00636
65	13.7	0.03794	0.00761	-0.29359
66	13.7	0.0	0.01429	-0.02119
67	9.4	0.0266	0.01598	-0.01046
68	5.0	0.0271	0.01856	-0.01591
69	8.6	-0.02233	0.01965	-0.00675
70	8.7	-0.00062	0.02167	-0.01251
71	2.1	0.04074	0.02238	-0.00438
72	-0.4	0.0122	0.02371	-0.00649
73	-0.4	0.0	0.02437	-0.00559
74	-6.6	0.03804	0.0237	0.00411
75	-4.1	-0.01554	0.02232	0.00857
76	-6.5	0.26093	0.02118	0.12462
77	-10.5	0.01272	0.01889	0.00726
78	-11.9	0.00867	0.01725	0.01017
79	-6.4	-0.03414	0.01343	0.0237
80	-4.3	-0.01298	0.01028	0.01952
81	-7.2	0.01788	0.0055	0.02946
82	-7.9	0.00432	0.00392	0.00971
83	-9.1	0.00746	0.00099	0.01823
84	-8.2	-0.00555	-0.00094	0.01193
85	-6.2	-0.01154	-0.00492	0.02293
86	-6.2	0.0	-0.00656	0.00847
87	-6.2	0.0	-0.00765	0.00683
88	-6.2	0.0	-0.00853	0.00734
89	-7.1	0.073	-0.009	0.03861
90	-7.9	0.00257	-0.0095	0.00159
91	-7.4	-0.00309	-0.00856	-0.00582
92	-7.3	-0.00062	-0.00781	-0.00461
93	-7.4	0.00062	-0.0076	-0.00133
94	-7.9	0.0031	-0.00722	-0.00235
95	-6.2	-0.01059	-0.00714	-0.00048
96	-6.2	0.0	-0.00693	-0.00131
97	-6.7	0.00309	-0.00696	0.00018
98	-4.7	-0.01234	-0.00693	-0.00018
99	-3.9	-0.00497	-0.00716	0.00145
100	-4.4	0.03614	-0.00731	0.01124
101	-2.9	-0.00484	-0.00811	0.00257
102	-1.2	-0.01047	-0.00844	0.00203
103	-11.2	0.06228	-0.00861	0.00103
