4	76.0
5	72.0
6	76.0
7	76.0
8	75.0
9	76.0
10	76.0
11	75.0
12	76.0
13	76.0
14	74.0
15	74.0
16	77.0
17	77.0
18	75.0
19	75.0
20	74.0
21	73.0
22	76.0
23	77.0
24	76.0
25	76.0
26	75.0
27	75.0
28	74.0
29	74.0
30	75.0
31	75.0
32	75.0
33	75.0
34	75.0
35	74.0
36	76.0
37	77.0
38	77.0
39	77.0
40	76.0
41	76.0
42	76.0
43	76.0
44	75.0
45	74.0
46	75.0
47	75.0
48	75.0
49	76.0
50	75.0
51	75.0
52	76.0
53	76.0
54	76.0
55	77.0
56	80.0
57	81.0
58	82.0
59	81.0
60	80.0
61	81.0
62	67.0
63	68.0
64	64.0
65	62.0
66	65.0
67	83.0
68	83.0
69	84.0
70	90.0
71	92.0
72	92.0
73	93.0
74	94.0
75	91.0
76	95.0
77	97.0
78	90.0
79	88.0
80	87.0
81	85.0
82	85.0
83	82.0
84	81.0
85	82.0
86	81.0
87	75.0
88	73.0
89	76.0
90	76.0
91	72.0
92	69.0
93	70.0
94	73.0
95	71.0
96	72.0
97	75.0
98	76.0
99	74.0
100	75.0
101	73.0
102	72.0
