4	77.0
5	74.0
6	75.0
7	75.0
8	75.0
9	74.0
10	76.0
11	77.0
12	74.0
13	73.0
14	74.0
15	75.0
16	76.0
17	75.0
18	75.0
19	75.0
20	76.0
21	75.0
22	75.0
23	76.0
24	75.0
25	75.0
26	76.0
27	76.0
28	75.0
29	75.0
30	75.0
31	75.0
32	76.0
33	77.0
34	75.0
35	74.0
36	74.0
37	74.0
38	75.0
39	75.0
40	75.0
41	76.0
42	74.0
43	73.0
44	75.0
45	77.0
46	75.0
47	75.0
48	74.0
49	74.0
50	76.0
51	76.0
52	76.0
53	76.0
54	77.0
55	77.0
56	79.0
57	79.0
58	78.0
59	77.0
60	81.0
61	66.0
62	67.0
63	67.0
64	67.0
65	67.0
66	68.0
67	69.0
68	72.0
69	73.0
70	77.0
71	80.0
72	80.0
73	80.0
74	83.0
75	84.0
76	86.0
77	86.0
78	88.0
79	89.0
80	89.0
81	88.0
82	84.0
83	82.0
84	86.0
85	87.0
86	85.0
87	84.0
88	85.0
89	85.0
90	84.0
91	83.0
92	86.0
93	87.0
94	84.0
95	84.0
96	84.0
97	83.0
98	84.0
99	86.0
100	82.0
101	81.0
102	82.0
